year,rank,player,team,points,percentages,nazionality,role,age,rank_numeric,competitionTeam
1956,1st,Stanley Matthews,Blackpool,47.0,37.9,England,RW,41,1,Premier League
1956,2nd,Alfredo Di Stéfano,Real Madrid,44.0,35.48,Spain,SS,30,2,La Liga
1956,3rd,Raymond Kopa,Real Madrid,33.0,26.61,France,RW,25,3,La Liga
1957,1st,Alfredo Di Stéfano,Real Madrid,72.0,58.54,Spain,SS,31,1,La Liga
1957,2nd,Billy Wright,Wolverhampton Wanderers,19.0,15.45,England,CB,33,2,Premier League
1957,3rd,Duncan Edwards,Manchester United,16.0,13.01,England,LM,21,3,Premier League
1957,3rd,Raymond Kopa,Real Madrid,16.0,13.01,France,RW,26,3,La Liga
1958,1st,Raymond Kopa,Real Madrid,71.0,52.99,France,RW,27,1,La Liga
1958,2nd,Helmut Rahn,Rot-Weiss Essen,40.0,29.85,Germany,RW,29,2,Bundesliga
1958,3rd,Just Fontaine,Stade de Reims,23.0,17.16,France,CF,25,3,Ligue1
1959,1st,Alfredo Di Stéfano,Real Madrid,80.0,54.79,Spain,SS,33,1,La Liga
1959,2nd,Raymond Kopa,Real Madrid,42.0,28.77,France,RW,28,2,La Liga
1959,3rd,John Charles,Juventus,24.0,16.44,England,RB,28,3,Serie A
1960,1st,Luis Suárez Miramontes,Barcelona,54.0,43.55,Spain,CF,25,1,La Liga
1960,2nd,Ferenc Puskás,Real Madrid,37.0,29.84,Hungary,CF,33,2,La Liga
1960,3rd,Uwe Seeler,Hamburg,33.0,26.61,Germany,CF,24,3,Bundesliga
1961,1st,Omar Sívori,Juventus,46.0,42.59,Italy,SS,26,1,Serie A
1961,2nd,Luis Suárez Miramontes,Internazionale,40.0,37.04,Spain,CF,25,2,Serie A
1961,3rd,Johnny Haynes,Fulham,22.0,20.37,England,SS,27,3,Premier League
1962,1st,Josef Masopust,Dukla Prague,65.0,43.05,Czech Republic,CM,31,1,Admiral Bundesliga
1962,2nd,Eusébio,Benfica,53.0,35.1,Portugal,Defender,20,2,Primeira Liga
1962,3rd,Karl-Heinz Schnellinger,Köln,33.0,21.85,Germany,LB,23,3,Bundesliga
