role,nazionality,rank,counter
Attaccante,Argentina,1st,8
Attaccante,Argentina,2nd,5
Attaccante,Argentina,3rd,1
Attaccante,Austria,2nd,1
Attaccante,Brasile,1st,1
Attaccante,Brasile,2nd,1
Attaccante,Brasile,3rd,3
Attaccante,Bulgaria,1st,1
Attaccante,Bulgaria,2nd,1
Attaccante,Croazia,2nd,1
Attaccante,Danimarca,1st,1
Attaccante,Danimarca,2nd,1
Attaccante,Danimarca,3rd,2
Attaccante,Francia,1st,3
Attaccante,Francia,2nd,2
Attaccante,Francia,3rd,8
Attaccante,Germania,1st,3
Attaccante,Germania,2nd,4
Attaccante,Germania,3rd,3
Attaccante,Inghilterra,1st,4
Attaccante,Inghilterra,2nd,2
Attaccante,Inghilterra,3rd,3
Attaccante,Irlanda del Nord,1st,1
Attaccante,Irlanda del Nord,3rd,1
Attaccante,Italia,1st,3
Attaccante,Italia,2nd,4
Attaccante,Italia,3rd,1
Attaccante,Liberia,1st,1
Attaccante,Macedonia del Nord,3rd,1
Attaccante,Montenegro,2nd,1
Attaccante,Norvegia,2nd,1
Attaccante,Olanda,1st,3
Attaccante,Olanda,2nd,2
Attaccante,Olanda,3rd,2
Attaccante,Polonia,2nd,1
Attaccante,Portogallo,1st,8
Attaccante,Portogallo,2nd,8
Attaccante,Portogallo,3rd,2
Attaccante,Scozia,1st,1
Attaccante,Scozia,2nd,1
Attaccante,Scozia,3rd,1
Attaccante,Senegal,2nd,1
Attaccante,Serbia,3rd,1
Attaccante,Spagna,1st,3
Attaccante,Spagna,2nd,3
Attaccante,Spagna,3rd,5
Attaccante,Ucraina,1st,3
Attaccante,Ucraina,3rd,2
Attaccante,Ungheria,1st,1
Attaccante,Ungheria,2nd,1
Centrocampista,Belgio,3rd,1
Centrocampista,Brasile,1st,2
Centrocampista,Croazia,1st,1
Centrocampista,Finlandia,3rd,1
Centrocampista,Francia,1st,4
Centrocampista,Francia,2nd,3
Centrocampista,Francia,3rd,3
Centrocampista,Germania,2nd,1
Centrocampista,Germania,3rd,3
Centrocampista,Inghilterra,1st,1
Centrocampista,Inghilterra,2nd,4
Centrocampista,Inghilterra,3rd,3
Centrocampista,Italia,1st,1
Centrocampista,Italia,2nd,1
Centrocampista,Montenegro,2nd,1
Centrocampista,Olanda,1st,4
Centrocampista,Olanda,2nd,1
Centrocampista,Olanda,3rd,1
Centrocampista,Polonia,3rd,2
Centrocampista,Portogallo,2nd,1
Centrocampista,Repubblica Ceca,1st,2
Centrocampista,Spagna,2nd,1
Centrocampista,Spagna,3rd,4
Difensore,Brasile,2nd,1
Difensore,Germania,1st,4
Difensore,Germania,2nd,3
Difensore,Germania,3rd,3
Difensore,Inghilterra,2nd,2
Difensore,Inghilterra,3rd,1
Difensore,Italia,1st,1
Difensore,Italia,2nd,2
Difensore,Italia,3rd,3
Difensore,Olanda,2nd,1
Difensore,Olanda,3rd,3
Difensore,Portogallo,1st,1
Difensore,Portogallo,2nd,2
Difensore,Spagna,1st,1
Difensore,Spagna,2nd,1
Portiere,Germania,3rd,3
Portiere,Italia,2nd,2
Portiere,Repubblica Ceca,3rd,1
Portiere,Russia,1st,1
