macro_role,nazionality,rank,role,counter
Attaccante,Argentina,1st,RW,8
Attaccante,Argentina,2nd,RW,5
Attaccante,Argentina,3rd,RW,1
Attaccante,Austria,2nd,CF,1
Attaccante,Brasile,1st,LW,1
Attaccante,Brasile,2nd,LW,1
Attaccante,Brasile,3rd,LW,3
Attaccante,Bulgaria,1st,LW,1
Attaccante,Bulgaria,2nd,LW,1
Attaccante,Croazia,2nd,CF,1
Attaccante,Danimarca,1st,SS,1
Attaccante,Danimarca,2nd,CF,1
Attaccante,Danimarca,3rd,CF,1
Attaccante,Danimarca,3rd,SS,1
Attaccante,Francia,1st,CF,2
Attaccante,Francia,1st,RW,1
Attaccante,Francia,2nd,CF,1
Attaccante,Francia,2nd,RW,1
Attaccante,Francia,3rd,CF,5
Attaccante,Francia,3rd,LW,1
Attaccante,Francia,3rd,RW,1
Attaccante,Francia,3rd,SS,1
Attaccante,Germania,1st,CF,3
Attaccante,Germania,2nd,CF,3
Attaccante,Germania,2nd,RW,1
Attaccante,Germania,3rd,CF,3
Attaccante,Inghilterra,1st,CF,3
Attaccante,Inghilterra,1st,RW,1
Attaccante,Inghilterra,2nd,CF,2
Attaccante,Inghilterra,3rd,CF,2
Attaccante,Inghilterra,3rd,SS,1
Attaccante,Irlanda del Nord,1st,RW,1
Attaccante,Irlanda del Nord,3rd,RW,1
Attaccante,Italia,1st,CF,1
Attaccante,Italia,1st,SS,2
Attaccante,Italia,2nd,CF,2
Attaccante,Italia,2nd,SS,2
Attaccante,Italia,3rd,CF,1
Attaccante,Liberia,1st,CF,1
Attaccante,Macedonia del Nord,3rd,CF,1
Attaccante,Montenegro,2nd,CF,1
Attaccante,Norvegia,2nd,CF,1
Attaccante,Olanda,1st,CF,3
Attaccante,Olanda,2nd,LW,1
Attaccante,Olanda,2nd,SS,1
Attaccante,Olanda,3rd,LW,1
Attaccante,Olanda,3rd,SS,1
Attaccante,Polonia,2nd,CF,1
Attaccante,Portogallo,1st,CF,7
Attaccante,Portogallo,1st,RW,1
Attaccante,Portogallo,2nd,CF,7
Attaccante,Portogallo,2nd,LW,1
Attaccante,Portogallo,3rd,CF,2
Attaccante,Scozia,1st,CF,1
Attaccante,Scozia,2nd,SS,1
Attaccante,Scozia,3rd,RW,1
Attaccante,Senegal,2nd,LW,1
Attaccante,Serbia,3rd,LW,1
Attaccante,Spagna,1st,CF,1
Attaccante,Spagna,1st,SS,2
Attaccante,Spagna,2nd,CF,2
Attaccante,Spagna,2nd,SS,1
Attaccante,Spagna,3rd,CF,4
Attaccante,Spagna,3rd,RW,1
Attaccante,Ucraina,1st,CF,2
Attaccante,Ucraina,1st,SS,1
Attaccante,Ucraina,3rd,CF,2
Attaccante,Ungheria,1st,CF,1
Attaccante,Ungheria,2nd,CF,1
Centrocampista,Belgio,3rd,AM,1
Centrocampista,Brasile,1st,AM,2
Centrocampista,Croazia,1st,CM,1
Centrocampista,Finlandia,3rd,AM,1
Centrocampista,Francia,1st,AM,4
Centrocampista,Francia,2nd,AM,2
Centrocampista,Francia,2nd,CM,1
Centrocampista,Francia,3rd,AM,3
Centrocampista,Germania,2nd,AM,1
Centrocampista,Germania,3rd,AM,3
Centrocampista,Inghilterra,1st,AM,1
Centrocampista,Inghilterra,2nd,AM,2
Centrocampista,Inghilterra,2nd,CM,2
Centrocampista,Inghilterra,3rd,AM,1
Centrocampista,Inghilterra,3rd,CM,1
Centrocampista,Inghilterra,3rd,LM,1
Centrocampista,Italia,1st,AM,1
Centrocampista,Italia,2nd,AM,1
Centrocampista,Montenegro,2nd,AM,1
Centrocampista,Olanda,1st,AM,4
Centrocampista,Olanda,2nd,AM,1
Centrocampista,Olanda,3rd,AM,1
Centrocampista,Polonia,3rd,AM,2
Centrocampista,Portogallo,2nd,AM,1
Centrocampista,Repubblica Ceca,1st,CM,1
Centrocampista,Repubblica Ceca,1st,LM,1
Centrocampista,Spagna,2nd,CM,1
Centrocampista,Spagna,3rd,CM,4
Difensore,Brasile,2nd,LB,1
Difensore,Germania,1st,DM,1
Difensore,Germania,1st,SW,3
Difensore,Germania,2nd,LB,1
Difensore,Germania,2nd,SW,2
Difensore,Germania,3rd,LB,2
Difensore,Germania,3rd,SW,1
Difensore,Inghilterra,2nd,CB,2
Difensore,Inghilterra,3rd,RB,1
Difensore,Italia,1st,CB,1
Difensore,Italia,2nd,LB,1
Difensore,Italia,2nd,SW,1
Difensore,Italia,3rd,DM,1
Difensore,Italia,3rd,LB,2
Difensore,Olanda,2nd,CB,1
Difensore,Olanda,3rd,DM,2
Difensore,Olanda,3rd,LB,1
Difensore,Portogallo,1st,Defender,1
Difensore,Portogallo,2nd,Defender,2
Difensore,Spagna,1st,DM,1
Difensore,Spagna,2nd,CB,1
Portiere,Germania,3rd,GK,3
Portiere,Italia,2nd,GK,2
Portiere,Repubblica Ceca,3rd,GK,1
Portiere,Russia,1st,GK,1
